Title,URL
Nvidia insiders sold over $1 billion in stock amid market surge: Report,https://www.thehindu.com/sci-tech/technology/nvidia-insiders-sold-over-1-billion-in-stock-amid-market-surge-report/article69754016.ece
"Meta may face daily fines over pay-or-consent model, EU warns",https://www.thehindu.com/sci-tech/technology/meta-may-face-daily-fines-over-pay-or-consent-model-eu-warns/article69747370.ece
"DeepSeek faces ban from Apple, Google app stores in Germany",https://www.thehindu.com/sci-tech/technology/deepseek-faces-ban-from-apple-google-app-stores-in-germany/article69747368.ece
Microsoft's next-gen AI chip production delayed to 2026: Report,https://www.thehindu.com/sci-tech/technology/microsofts-next-gen-ai-chip-production-delayed-to-2026-report/article69747367.ece
Nvidia insiders sold over $1 billion in stock amid market surge: Report,https://www.thehindu.com/sci-tech/technology/nvidia-insiders-sold-over-1-billion-in-stock-amid-market-surge-report/article69754016.ece
Trump says 'very wealthy' group to buy TikTok,https://www.thehindu.com/sci-tech/technology/trump-says-very-wealthy-group-to-buy-tiktok/article69753933.ece
"‘F1’ opens with $55 million, delivering Apple its biggest big-screen hit",https://www.thehindu.com/sci-tech/technology/f1-opens-with-55-million-delivering-apple-its-biggest-big-screen-hit/article69753930.ece
Meta spending big on AI talent but will it pay off?,https://www.thehindu.com/sci-tech/technology/meta-spending-big-on-ai-talent-but-will-it-pay-off/article69753928.ece
Tech firms warn 'Scattered Spider' hacks are targeting aviation sector,https://www.thehindu.com/sci-tech/technology/tech-firms-warn-scattered-spider-hacks-are-targeting-aviation-sector/article69753949.ece
"Indians spend 35 minutes each day wet cleaning their floors, says Dyson’s study",https://www.thehindu.com/sci-tech/technology/indians-spend-35-minutes-each-day-wet-cleaning-their-floors-says-dysons-study/article69747777.ece
Redmi Pad 2 Review | Suits users who want a tablet for routine daily tasks,https://www.thehindu.com/sci-tech/technology/gadgets/redmi-pad-2-review-suits-users-who-want-a-tablet-for-routine-daily-tasks/article69747696.ece
Samsung launches Galaxy M36 5G with Exynos processor and AMOLED display in India,https://www.thehindu.com/sci-tech/technology/gadgets/samsung-launches-galaxy-m36-5g-with-exynos-processor-and-amoled-display-in-india/article69747635.ece
Microsoft's next-gen AI chip production delayed to 2026: Report,https://www.thehindu.com/sci-tech/technology/microsofts-next-gen-ai-chip-production-delayed-to-2026-report/article69747367.ece
OpenAI turns to Google's AI chips to power its products,https://www.thehindu.com/sci-tech/technology/openai-turns-to-googles-ai-chips-to-power-its-products/article69747366.ece
"DeepSeek faces ban from Apple, Google app stores in Germany",https://www.thehindu.com/sci-tech/technology/deepseek-faces-ban-from-apple-google-app-stores-in-germany/article69747368.ece
Intel's top strategy officer to depart this month,https://www.thehindu.com/sci-tech/technology/intels-top-strategy-officer-to-depart-this-month/article69747369.ece
